chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.lc.ready.ignor.norm.qc.fillna.m.tsv	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.lc.ready.ignor.norm.qc.fillna.r.tsv
HCER	0.280759956786161	2.50805853658537	2.76871186440678
PE	0.292969598436362	151.946465853659	158.090293220339
PC	0.741192487369048	1668.17831707317	1684.21679661017
DCER	0.141842346812452	0.989124390243902	1.02986440677966
DAG	0.714452269305381	31.1195317073171	29.9864728813559
LCER	0.235229115983089	4.64345365853659	5.03118474576271
PI	0.569577599815367	43.7195829268293	42.983513559322
SM	0.303879867652695	450.198885365854	465.31373220339
CER	0.618737566589011	3.8172243902439	3.97804406779661
CE	0.387743132299579	2644.23968292683	2733.93342372881
LPC	error	117.954131707317	129.995689830508
LPE	0.133544285690126	3.99181219512195	4.33061525423729
MAG	0.0780616479699742	2.42877317073171	2.6779186440678
TAG	0.53090426041294	1100.75999756098	1093.39315762712
FFA	0.360937789674849	1646.98041463415	1564.40915254237
